Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Alampally  B.O-BPM-UR",30704638,"BPM",,"Alampally  B.O","Adilabad Division"
2,"Ashta B.O-ABPM-UR",30144106,"ABPM",,"Ashta B.O","Adilabad Division"
3,"Chintalchanda B.O-BPM-UR",30144542,"BPM",,"Chintalchanda B.O","Adilabad Division"
4,"Chintalpalli B.O-BPM-OBC",30705073,"BPM",,"Chintalpalli B.O","Adilabad Division"
5,"Coal Chemical Complex S.O-Daksevak-UR",30248253,"Daksevak",,"Coal Chemical Complex S.O","Adilabad Division"
6,"Dantanpalli B.O-ABPM-UR",30144221,"ABPM",,"Dantanpalli B.O","Adilabad Division"
7,"Dharmaraopet B.O-ABPM-UR",30144711,"ABPM",,"Dharmaraopet B.O","Adilabad Division"
8,"Dowdepelli B.O-BPM-UR",30144450,"BPM",,"Dowdepelli B.O","Adilabad Division"
9,"Dugunapalli B.O-ABPM-UR",30248169,"ABPM",,"Dugunapalli B.O","Adilabad Division"
10,"Gangapur-ABPM-UR",30732249,"ABPM",,"Gangapur","Adilabad Division"
11,"Gollakota B.O-BPM-UR",30148704,"BPM",,"Gollakota B.O","Adilabad Division"
12,"Gummanuyenglapur-ABPM-UR",30732257,"ABPM",,"Gummanuyenglapur","Adilabad Division"
13,"Jangalpet-BPM-OBC",30732259,"BPM",,"Jangalpet","Adilabad Division"
14,"Jannaram S.O-Daksevak-UR",30144526,"Daksevak",,"Jannaram S.O","Adilabad Division"
15,"Kanchanpalli B.O-BPM-OBC",30144436,"BPM",,"Kanchanpalli B.O","Adilabad Division"
16,"Kattersala B.O-BPM-UR",30705074,"BPM",,"Kattersala B.O","Adilabad Division"
17,"Kerameri B.O-BPM-OBC",30144251,"BPM",,"Kerameri B.O","Adilabad Division"
18,"Khandala B.O-ABPM-UR",30704647,"ABPM",,"Khandala B.O","Adilabad Division"
19,"Kistapur B.O-BPM-UR",30160078,"BPM",,"Kistapur B.O","Adilabad Division"
20,"Kolama B.O-BPM-OBC",30705055,"BPM",,"Kolama B.O","Adilabad Division"
21,"Marepalle-BPM-UR",30732282,"BPM",,"Marepalle","Adilabad Division"
22,"Nagampet B.O-BPM-UR",30704643,"BPM",,"Nagampet B.O","Adilabad Division"
23,"Naspur B.O-ABPM-OBC",30248254,"ABPM",,"Naspur B.O","Adilabad Division"
24,"Panchagudi B.O-ABPM-OBC",30144649,"ABPM",,"Panchagudi B.O","Adilabad Division"
25,"Papanpet B.O-BPM-OBC",30144305,"BPM",,"Papanpet B.O","Adilabad Division"
26,"Pardi B.O-ABPM-UR",30144397,"ABPM",,"Pardi B.O","Adilabad Division"
27,"Rechini S.O-Daksevak-OBC",30144089,"Daksevak",,"Rechini S.O","Adilabad Division"
28,"Sankaram-BPM-UR",30732290,"BPM",,"Sankaram","Adilabad Division"
29,"Sawli B.O-ABPM-UR",30144177,"ABPM",,"Sawli B.O","Adilabad Division"
30,"Sirchelma B.O-ABPM-OBC",30144730,"ABPM",,"Sirchelma B.O","Adilabad Division"
31,"Suddha Ghat-BPM-UR",30732296,"BPM",,"Suddha Ghat","Adilabad Division"
32,"Ullipittadorli B.O-BPM-UR",30144242,"BPM",,"Ullipittadorli B.O","Adilabad Division"
33,"Velgi-BPM-OBC",30732307,"BPM",,"Velgi","Adilabad Division"
34,"Vengwapet B.O-BPM-UR",30144189,"BPM",,"Vengwapet B.O","Adilabad Division"
35,"Waddadi B.O-BPM-UR",30705058,"BPM",,"Waddadi B.O","Adilabad Division"
36,"Waghapur B.O-BPM-OBC",30144343,"BPM",,"Waghapur B.O","Adilabad Division"
37,"Waipet-BPM-UR",30732311,"BPM",,"Waipet","Adilabad Division"
38,"Wajar-BPM-UR",30732314,"BPM",,"Wajar","Adilabad Division"